title,true_label,final_prediction,z_label,z_reason,a_final,b_final,num_debate_turns
Trump budget to give first look at infrastructure ...,real,real,pass,Supported by credible sources (Reuters) discussing Trump's infrastructure plan....,real,real,2
China's Xi says hopes to promote relations with No...,real,real,pass,"Claim is supported by credible sources (Reuters, CNN) reporting on Xi's statements regarding promoti...",real,real,2
CNN CONTRIBUTOR: Trump’s Diversity Coalition ‘Medi...,fake,fake,pass,"The claim is supported by credible sources, including CNN's Marc Lamont Hill's statements regarding ...",fake,fake,2
The Nerve! Clinton Claims The VA Scandal Was No Bi...,fake,fake,pass,"The claim is supported by credible sources, including The Hill and CNN, which report on Hillary Clin...",fake,fake,2
Possible sale of Boeing C-17 aircraft to India app...,real,real,pass,Supported by credible sources (Reuters) confirming the approval of the sale of Boeing C-17 aircraft ...,real,real,2
"Pentagon identifying new areas to pressure Iran, r...",real,real,pass,"Supported by credible sources (Reuters, Business Times, Ynetnews) confirming the Pentagon's actions ...",real,real,2
 Mexico Makes Toilet Paper Great Again As American...,fake,fake,pass,The claim about a Mexican businessman marketing 'Trump' toilet paper is supported by multiple credib...,fake,fake,2
INFAMOUS ROMANIAN HACKER Tells FOX News Host How “...,fake,fake,pass,"The claim is supported by multiple sources, including Fox News, which reported on the Romanian hacke...",fake,fake,2
Japan PM Abe's ratings regain 50 percent amid Nort...,real,real,pass,Supported by credible sources (Reuters) confirming the claim about Japan PM Abe's ratings....,real,real,2
Trump campaign paid lawyer now representing son $5...,real,real,pass,"Claim is supported by credible sources (Reuters, CNN, Politico) confirming the payment of $50,000 by...",real,real,2
 Trump Reverses Himself On Obamacare And Conservat...,fake,fake,fake,"The claim suggests Trump reversed his stance on Obamacare, but the sources indicate he continues to ...",no_debate,no_debate,0
French police find more explosives after raid near...,real,real,pass,Claim is supported by credible source (Reuters) confirming the discovery of explosives after a polic...,real,real,2
"OBAMA RAMPS UP Militarization Of EPA, FDA, VA Whil...",fake,fake,fake,"The claim about Obama militarizing the EPA, FDA, and VA lacks credible evidence and relies on sensat...",no_debate,no_debate,0
WOW! TUCKER AND JESSE Destroy The Liberal Kooks Pr...,fake,fake,fake,The claim uses sensational language ('Destroy The Liberal Kooks') and lacks credible sources to supp...,no_debate,no_debate,0
TV audience for CNN Republican presidential debate...,real,real,pass,Supported by credible source (Reuters) confirming the audience for the CNN Republican presidential d...,real,real,2
CLASS ACT: Trump Finds Out NY Man’s TRUMP Sign Bur...,fake,fake,fake,The claim lacks credible evidence and context; it appears to be sensationalized without specific det...,no_debate,no_debate,0
Magnitude 6.4 aftershock hits off New Caledonia: U...,real,real,pass,"Claim is supported by credible sources (Reuters, Strait Times) reporting on the magnitude 6.4 afters...",real,real,2
PRICELESS! RACE BAITER JOHN LEWIS Bombarded With H...,fake,fake,fake,The claim uses sensational language ('PRICELESS! RACE BAITER') and lacks credible evidence or source...,no_debate,no_debate,0
Flamboyant Hong Kong businessman David Tang dies a...,real,real,pass,"Claim is supported by credible sources (Reuters, LA Times, Wikipedia) confirming David Tang's death ...",real,real,2
 Trump Stops Infrastructure Speech To Go Off The R...,fake,fake,pass,The claim is supported by multiple sources discussing Trump's comments about Democrats during infras...,fake,fake,2
CHER AND ROSIE In Desperation Mode Over Tax Cuts…I...,fake,fake,fake,No credible sources support the claim; it contains sensational language and appears to be fabricated...,no_debate,no_debate,0
Connecticut Governor Malloy says he will not seek ...,real,real,pass,"Supported by credible sources (Reuters, CT Mirror) confirming Governor Malloy's statement about not ...",real,real,2
BRILLIANT: [VIDEO] SHERIFF CLARKE EXPLAINS HOW #Bl...,fake,fake,fake,The claim uses sensational language ('BRILLIANT') and lacks credible sources to support the assertio...,no_debate,no_debate,0
U.S. asks U.N. to blacklist 10 ships over banned N...,real,real,pass,"Supported by credible sources (Reuters, SCMP, VOA) confirming the U.S. request to blacklist ships ov...",real,real,2
Nigerian oil union PENGASSAN suspends strike: unio...,real,real,pass,"Supported by credible sources (Reuters, Yahoo News) confirming the suspension of the strike by the N...",real,real,2
 Trump Gets SKEWERED For Trying To Take Credit For...,fake,fake,pass,"The claim is supported by credible sources, including CNBC and FactCheck.org, which confirm that Tru...",fake,fake,2
CAN YOU GUESS THE ONE THING Majority Of Bernie San...,fake,fake,fake,The claim lacks credible sources and specific evidence to support the assertion about Bernie Sanders...,no_debate,no_debate,0
U.S. transfers four Guantanamo inmates in waning h...,real,real,pass,"The claim is supported by credible sources including Reuters and The New York Times, confirming the ...",real,real,2
"STUDENTS AT MAJOR UNIVERSITY: Black Students, Incl...",fake,fake,fake,The claim lacks credible sources and appears to be sensationalized without evidence....,no_debate,no_debate,0
 T-shirts Were Sold Outside Bills Game With Rifle ...,fake,fake,pass,"The claim is supported by credible sources, including NBC Sports and IMDB, which report on T-shirts ...",fake,fake,2
EPIC SPEECH WELL WORTH WATCHING! Trump’s Remarks T...,fake,fake,pass,"The claim is supported by multiple credible sources, including OpsLens and Politico, which confirm T...",fake,real,6
 WATCH: Kieth Olbermann DESTROYS Trump For Mishand...,fake,fake,fake,The claim uses sensational language ('DESTROYS') and lacks credible evidence or sources to support t...,no_debate,no_debate,0
U.S. retailers bet on Congress over Bolivia to thw...,real,real,pass,"Supported by credible sources (Reuters, USA Today) discussing U.S. retailers' lobbying efforts regar...",real,real,2
 Trump Gets Revenge On Women’s March By Signing Ex...,fake,fake,fake,The claim uses sensational language ('Kill A Bunch Of Women And Girls') and lacks credible evidence ...,no_debate,no_debate,0
"Germany should be proud of its WW2 soldiers, far-r...",real,fake,pass,"Claim is supported by credible sources (Reuters, The Guardian, BBC) reporting on comments made by a ...",fake,fake,2
Democratic presidential candidate Sanders seeks re...,real,real,pass,"Supported by credible sources (Reuters, The Jerusalem Post, The Guardian) confirming Sanders request...",real,real,2
Madrid representative in Catalonia apologizes for ...,real,real,pass,"Supported by credible sources (Reuters, ABC) confirming the apology for police violence during the i...",real,real,2
BREAKING: OBAMA POISED To Exact Revenge On PUTIN W...,fake,fake,fake,The claim uses sensational language ('OBAMA POISED To Exact Revenge') and lacks credible evidence to...,no_debate,no_debate,0
 Congressional Black Caucus Member Depicts List Of...,fake,fake,fake,No credible evidence found to support the claim; lacks verification from reliable sources....,no_debate,no_debate,0
 Republicans Just Changed The Rules To Force Throu...,fake,fake,pass,"The claim is supported by credible sources, including AP and CNN, discussing Republicans considering...",fake,fake,2
CHARITY GETS MILLIONS From US To Train “Vulnerable...,fake,fake,fake,No credible sources support the claim of a charity receiving millions from the US specifically to tr...,no_debate,no_debate,0
NEW YORK GOV CUOMO Thinks He’s The Boss of You: Ba...,fake,fake,pass,"The claim is supported by credible sources, including Yahoo News and Times Union, confirming that Go...",fake,fake,2
BREAKING: US SUPREME COURT Upholds U. Of TX-Austin...,fake,fake,fake,"The claim misrepresents the Supreme Court's ruling, which stated that the consideration of race in c...",no_debate,no_debate,0
" Tired Of Things Going Well, Marco Rubio Makes Pro...",fake,fake,fake,The claim uses sensational language ('Promise To Destroy America Again') and lacks credible evidence...,no_debate,no_debate,0
Senior Republicans signal issues in Congress for O...,real,real,pass,"Supported by credible sources (Reuters, WTOP) discussing issues in Congress regarding Obama's Afghan...",real,real,2
NOT KIDDING! Serial Liar Brian Williams Blames “FA...,fake,fake,pass,"The claim is supported by credible sources, including The Hill, which reported on Brian Williams dis...",fake,fake,2
Telefonica suspends customer service operations in...,real,real,pass,Claim is supported by credible sources (Reuters) confirming Telefonica's suspension of operations in...,real,real,2
"CHICAGO: 117 KILLED, 572 SHOT In 71 Days…Obama Ter...",fake,fake,fake,The claim contains sensational language and lacks credible sources to support the specific statistic...,no_debate,no_debate,0
Russia PM: new U.S. sanctions amount to 'full-scal...,real,real,pass,"Supported by credible sources (BBC, Reuters, The Hill) confirming the statement made by Russian PM D...",real,real,2
NEW HANDGUN DESIGN Folds Up Like Smartphone…But Is...,fake,fake,pass,The claim about a new handgun design that folds up like a smartphone is supported by a credible sour...,fake,fake,2
Pope to see a Medellin that has put drug wars in i...,real,real,pass,"Supported by credible sources (Reuters, Santa Fe New Mexican, Yahoo News) discussing the Pope's visi...",real,real,2
DEMOCRATS THREATEN KIDS EDUCATION: CHICAGO TEACHER...,fake,fake,fake,The claim uses sensational language ('DEMOCRATS THREATEN KIDS EDUCATION') and misrepresents the situ...,no_debate,no_debate,0
Senate sets votes on competing Zika funding plans...,real,real,pass,"Supported by credible sources (Reuters, PBS) confirming Senate votes on Zika funding plans....",real,real,2
Canadian police probe mysterious deaths of billion...,real,real,pass,"Supported by credible sources (Reuters, NBC News) confirming the investigation into the deaths of bi...",real,real,2
"Liberia's Johnson Sirleaf saddened, concerned afte...",real,real,pass,"Supported by credible sources (Reuters, Fortune, Newsweek) confirming Johnson Sirleaf's concerns abo...",real,real,2
Thomas ends decade of self-imposed silence at Supr...,real,real,pass,"Supported by credible sources (Reuters, NYT, NPR) confirming that Clarence Thomas ended a decade of ...",real,real,2
[Video] US VETERAN FINDS FLAG HE CARRIRED ON TOUR ...,fake,fake,pass,"The claim is supported by credible sources, including a news article from WDRB detailing the inciden...",fake,fake,2
 Trump Meets Anti-Vaccination Nuts And Expresses S...,fake,fake,fake,The claim uses sensational language ('Anti-Vaccination Nuts') and lacks credible evidence from relia...,no_debate,no_debate,0
"Among Trump associates, concern and frustration ov...",real,fake,pass,"The claim is supported by credible sources such as Reuters and The Hill, which discuss the concern a...",fake,real,6
 Colin Powell Bashes GOP Candidates For ‘Belittlin...,fake,real,pass,The claim is supported by a credible source (NPR) that reported on Colin Powell's comments regarding...,real,real,2
Canadian teens tried to use Christmas lights for b...,real,real,pass,Supported by credible source (Reuters) confirming the claim about Canadian teens attempting to use C...,real,real,2
CHOKING ON HER LIES? HILLARY CLINTON Has Coughing ...,fake,fake,pass,The claim about Hillary Clinton having a coughing fit during a speech is supported by credible sourc...,fake,fake,2
WOW! EVEN CNN’s REPORTING On Mueller’s New Russian...,fake,fake,fake,"The claim lacks credible sources and uses sensational language ('WOW!', 'EVEN CNN’s REPORTING') with...",no_debate,no_debate,0
 White Nationalist Radio: Trump Gave Us A Press Pa...,fake,fake,pass,"The claim is supported by credible sources, including The New York Times and The Guardian, which rep...",fake,fake,2
DEMOCRATS AREN’T AFRAID Trump Will Be A Terrible P...,fake,fake,fake,The claim lacks credible sources and relies on sensational language without evidence....,no_debate,no_debate,0
 WATCH: Colbert Asks Tapper How CNN Staff Feels Ab...,fake,fake,fake,The claim lacks credible sources and relies on sensational language ('His Response Is PERFECT') with...,no_debate,no_debate,0
U.S. Republican Rand Paul suspends 2016 White Hous...,real,real,pass,"Supported by credible sources (CNBC, ABC News, BBC) confirming Rand Paul's suspension of his 2016 pr...",real,real,2
 WATCH: ‘The View’ Unanimously Rips Trump A New On...,fake,fake,pass,"The claim is supported by a video from 'The View' discussing Trump's comments, and there are credibl...",fake,fake,2
China says has made best effort on North Korea ahe...,real,real,pass,Supported by credible source (Reuters) confirming China's efforts regarding North Korea ahead of Tru...,real,real,2
FLASHBACK: ARMY OF WOMEN Join Social Media Craze T...,fake,fake,pass,The claim about women showing support for President Trump and Ivanka is corroborated by a credible s...,fake,fake,2
Mexico-U.S. trade would survive any NAFTA rupture:...,real,real,pass,"Claim is supported by credible sources including Reuters and Business Times, which report on Mexico'...",real,real,2
 Right-Wing Radio Host Regrets That Conservatives ...,fake,fake,pass,The claim is supported by credible sources discussing a right-wing radio host admitting that conserv...,fake,fake,2
Indonesian police warn Islamists against raids in ...,real,real,pass,"Supported by credible sources (Yahoo, Reuters, NYT) reporting on Indonesian police warnings regardin...",real,real,2
ILLEGAL ALIEN WHO MURDERED INNOCENT WOMAN WAS DEPO...,fake,fake,fake,"The claim lacks credible sources and uses sensational language ('ILLEGAL ALIEN', 'MURDERED INNOCENT ...",no_debate,no_debate,0
"Trump strongly committed to partnership with EU, s...",real,real,pass,"Supported by credible sources (Reuters, DW, NYT) confirming Pence's statement about Trump's commitme...",real,real,2
South Korea braces for possible new missile test t...,real,real,pass,"Supported by credible sources (Reuters, KRQE, VOA) reporting on South Korea's monitoring of North Ko...",real,real,3
Congress sends White House repeal of broadband pri...,real,real,pass,Supported by credible sources (Reuters and Wikipedia) confirming the repeal of broadband privacy rul...,real,real,2
PRESIDENT TRUMP GIVES HYSTERICAL Response When Tol...,fake,fake,pass,"The claim is supported by credible sources (CNN, TMZ) reporting on Trump's comments about astronauts...",fake,fake,2
Top U.S. Intelligence Democrat blasts Trump over R...,real,real,pass,"The claim is supported by credible sources, including reports from reputable news outlets discussing...",real,real,2
"In Pakistan, North Korean diplomat's alcohol stash...",real,real,pass,"Supported by credible sources (Yahoo, Reuters, Vice) discussing suspicions of North Korean diplomats...",real,real,2
"U.N. mulls U.S. push for North Korea oil embargo, ...",real,real,pass,Supported by credible sources (Reuters) confirming U.N. consideration of U.S. proposals for an oil e...,real,real,2
Saudi foreign minister says Iran main sponsor of g...,real,real,pass,"Claim supported by credible sources (Reuters, NCRI, SPA) reporting on the Saudi foreign minister's s...",real,real,2
Trump Attacks Hillary: “She is a world class liar!...,fake,fake,pass,"Supported by credible sources (ABC News, Spectrum News) confirming Trump's statement about Hillary C...",fake,fake,2
CIA contractors likely source of latest WikiLeaks ...,real,real,pass,"Supported by credible sources (Reuters, Yahoo News, New York Times) reporting on the CIA contractors...",real,real,2
HYSTERICAL…THE DEMOCRAT CONVENTION Schedule Is Rev...,fake,fake,fake,The claim uses sensational language ('HYSTERICAL') and lacks credible evidence or context regarding ...,no_debate,no_debate,0
 WATCH: Bernie Sanders Absolutely BERNS Donald Tru...,fake,fake,pass,"The claim is supported by credible sources, including CNN, which reported on Bernie Sanders' comment...",fake,real,6
Veteran Arizona sheriff defeats three in Republica...,real,real,pass,"Supported by credible sources (Reuters, Yahoo) confirming the Arizona sheriff's victory in the Repub...",real,real,2
 Ted Cruz Has A Sickening New Plan For America’s M...,fake,fake,fake,The claim uses sensational language ('sickening new plan') and lacks credible evidence or sources to...,no_debate,no_debate,0
Kremlin says it is following situation in Ukraine'...,real,real,pass,Supported by credible source (Reuters) confirming the Kremlin's statement about following the situat...,real,real,2
"Factbox: Trump on Twitter (Jan 19)-Rev. Graham, Wa...",real,fake,pass,The claim is supported by credible sources (Reuters) and accurately references Donald Trump's Twitte...,fake,fake,2
Factbox: Lawmakers want to see Comey memo on Trump...,real,real,pass,"Supported by credible sources (Reuters, PBS) discussing lawmakers' interest in the Comey memo....",real,real,2
 This Clip Of Obama OBLITERATING Trump 5 Years Ago...,fake,fake,fake,The claim lacks credible sources and relies on sensational language ('OBLITERATING'). No evidence su...,no_debate,no_debate,0
WIKILEAKS JULIAN ASSANGE Reveals Hillary’s Connect...,fake,fake,fake,No credible evidence supports the claim of Hillary's connection to ISIS; sensational language used (...,no_debate,no_debate,0
DR BEN CARSON TARGETED BY THE IRS: “I never had an...,fake,fake,pass,The claim is supported by multiple sources where Ben Carson states he was audited after speaking at ...,fake,fake,3
Honduran presidential result due at 9 pm: electora...,real,real,pass,"Supported by credible sources (Reuters, Univision) confirming the announcement of the presidential e...",real,real,2
TINA FEY Blasts ONLY White Women For Voting For Tr...,fake,real,pass,"Tina Fey did address college-educated white women who voted for Trump, as reported by credible sourc...",real,real,2
Romanian president opposes plans for judicial over...,real,fake,pass,"Supported by credible sources (Reuters, DW, RFE/RL) confirming the Romanian president's opposition t...",fake,real,6
Assad says Syria war does not end in Deir al-Zor...,real,real,pass,"Claim is supported by credible sources including Reuters and Ahram, confirming Assad's statement abo...",real,real,2
White House: Not in Saudi interest to destabilize ...,real,real,pass,Supported by credible source (Reuters) confirming the White House's statement regarding Saudi Arabia...,real,real,2
Hong Kong democracy activists granted bail as they...,real,real,pass,"Supported by credible sources (Reuters, AP News, The Guardian) confirming the bail granted to Hong K...",real,real,2
COLLEGE HOLDS EARLY SEGREGATED ORIENTATION To Help...,fake,fake,fake,No credible evidence supports the claim of a segregated orientation for minority students; the sourc...,no_debate,no_debate,0
SERIAL LIAR HILLARY CLINTON: ‘I think I have been ...,fake,fake,fake,The claim uses sensational language ('SERIAL LIAR') and lacks credible sources to substantiate the a...,no_debate,no_debate,0
#Austin: Fights Break Out Between Police and Soros...,fake,fake,fake,The claim uses sensational language ('Soros Commies') and lacks credible evidence; related sources d...,no_debate,no_debate,0
U.S. lawmakers to press AOL for Powell's State Dep...,real,real,pass,"Supported by credible sources (Reuters, Politico) confirming U.S. lawmakers' actions regarding Powel...",real,real,2
Japan business lobby throws weight behind PM Abe's...,real,real,pass,"Supported by credible sources (Reuters, Business Times) confirming the business lobby's support for ...",real,real,2
[Video] US VETERAN FINDS FLAG HE CARRIRED ON TOUR ...,fake,fake,pass,"The claim is supported by credible sources, including a news article from WDRB detailing the inciden...",fake,fake,2
"Kenya president lifts travel restrictions, saying ...",real,real,pass,"Supported by credible sources (Reuters, Africa News) confirming the lifting of visa restrictions for...",real,real,2
BRAVO! PRESIDENT TRUMP Renews America’s Standing A...,fake,fake,fake,"The claim uses sensational language ('BRAVO!', 'Historical, No Apologies Speech') and lacks credible...",no_debate,no_debate,0
AWESOME! PRO-TRUMP CROWD Protests Fake News at CNN...,fake,fake,pass,The claim about a pro-Trump crowd protesting at CNN headquarters is supported by a credible source (...,fake,fake,2
Lebanon's Hariri must return home from Saudi to pr...,real,real,pass,"Supported by credible sources (Reuters, Euronews) confirming the statement made by Lebanon's foreign...",real,real,2
Appellate judge Kelly considered for Supreme Court...,real,real,pass,Claim is supported by credible sources (NYT and Reuters) confirming that Judge Kelly was considered ...,real,real,2
TRUMP CALLS OUT Washington Post #FakeNews Reporter...,fake,fake,pass,The claim is supported by multiple credible sources discussing Trump's criticism of a Washington Pos...,fake,fake,2
BILL CLINTON Spaces Out…Chews On His Tongue During...,fake,fake,fake,The claim lacks credible sources and relies on sensational language ('Spaces Out…Chews On His Tongue...,no_debate,no_debate,0
" Don Lemon Is Fed Up, Yanks Guest Off The Air Afte...",fake,fake,fake,"The claim lacks credible sources and relies on sensational language ('Fed Up', 'Idiotic Fake News Cl...",no_debate,no_debate,0
" Clinton Campaign Announces BAD News For Trump, Wi...",fake,real,pass,"The claim about the Clinton campaign participating in a recount is supported by credible sources, in...",real,real,2
Catalan business lobby says worried by any declara...,real,real,pass,"Supported by credible sources (Reuters, Yahoo) confirming the Catalan business lobby's concerns abou...",real,real,2
Trump says he'll make high court pick within two w...,real,real,pass,Supported by credible source (Reuters) confirming Trump's statement about making a high court pick w...,real,real,2
"Internet firms shift stance, move to exile white s...",real,real,pass,"Supported by credible sources (Reuters, CBC, PBS) discussing the actions of internet firms against w...",real,real,2
REALLY FAKE NEWS: New York Times Finally Retracts ...,fake,fake,fake,The claim that the New York Times retracted the '17 intelligence agencies' assertion is not supporte...,no_debate,no_debate,0
 America Shocked To Learn That Immigration Opponen...,fake,fake,fake,The claim uses sensational language ('America Shocked') and lacks credible evidence or sources to su...,no_debate,no_debate,0
Finnish police release one knife attack suspect...,real,real,pass,"Supported by credible sources (Yahoo, Reuters, Arab News) confirming the release of one suspect in a...",real,real,2
Oracle Co-CEO questions policies on student visas...,real,real,pass,"Supported by credible sources (Reuters, Fortune) confirming Oracle Co-CEO Mark Hurd's comments on st...",real,real,2
SHE GREW UP BELIEVING BLACKS Could Only Support De...,fake,fake,fake,"The claim lacks credible sources and contains sensational language ('INcredible Story', 'LEFTIST MAC...",no_debate,no_debate,0
Clinton bests de Blasio in hypothetical NYC mayor ...,real,real,pass,"Supported by credible sources (Reuters, WSJ, NYT) reporting on a poll indicating Clinton would lead ...",real,real,2
Senate repeals Labor Dept. municipal retirement pl...,real,real,pass,"Supported by credible sources (Reuters, CNBC) confirming the Senate's action to repeal the Labor Dep...",real,real,2
 John Cleese SLAMS Trump: It’s Like He’s ‘Assembli...,fake,fake,pass,"The claim is supported by John Cleese's own tweets, which reference his comments about Trump assembl...",fake,fake,2
 Trump Staff Defends Shoving Breitbart Reporter By...,fake,fake,pass,The claim is supported by credible sources detailing the incident involving Michelle Fields and the ...,fake,fake,2
Trump Supreme Court nominee's confirmation hearing...,real,real,pass,"The claim is supported by credible sources, including Reuters and The Washington Post, confirming th...",real,real,2
"Trump on Twitter (May 2): Shutdown, legislation, D...",real,fake,pass,The claim is supported by a credible source (Reuters) that confirms Trump's tweet regarding Director...,fake,real,6
 Hillary Gives Rubio A New Name After He Says She ...,fake,fake,fake,The claim uses sensational language ('kills babies on their due date') and lacks credible evidence t...,no_debate,no_debate,0
TRUMP’S BEST CAMPAIGN AD EVER Just Came From Barac...,fake,fake,fake,"The claim suggests that Barack Obama created a campaign ad for Trump, which is misleading and lacks ...",no_debate,no_debate,0
Multi-stage cyber attacks net North Korea millions...,real,real,pass,"Supported by credible sources (Reuters, Yahoo Finance) reporting on North Korea's cyber attacks and ...",real,real,2
 There Are Already Four Ways Trump Could Be Impeac...,fake,fake,pass,"The claim discusses the potential for Trump's impeachment, which is a topic covered by credible sour...",fake,fake,2
 Courts Decide Conspiracy Nut Alex Jones Is Too Cr...,fake,fake,fake,No credible sources support the claim that courts decided Alex Jones is too crazy to raise his own k...,no_debate,no_debate,0
French envoy says Paris climate deal doesn't infri...,real,real,pass,"Claim is supported by credible sources (Reuters, VOA) confirming the French envoy's statement regard...",real,real,2
 Trump Gets Booed Off The Stage In Front Of The Te...,fake,fake,fake,No credible sources support the claim; the retrieved information discusses Trump being booed at the ...,no_debate,no_debate,0
France's Macron says U.S. interests to be harmed b...,real,real,pass,"Supported by credible sources (Reuters, JPost) confirming Macron's statement about U.S. interests be...",real,real,2
China criticises India over crashed drone on borde...,real,real,pass,"Supported by credible sources (Reuters, Defense News, Space Daily) confirming China's criticism of I...",real,real,2
Kerry says would be valuable for Trump to seek adv...,real,real,pass,"Claim is supported by credible sources (Reuters, CNN, JPost) reporting on John Kerry's statements re...",real,real,2
" Paul Ryan Sharpens His Backstabbing Knife, Prepar...",fake,fake,fake,"The claim uses sensational language ('Sharpens His Backstabbing Knife, Prepares War') and lacks cred...",no_debate,no_debate,0
Cuba holds municipal elections on road to Castro e...,real,real,pass,"Supported by credible sources (Reuters, VOA, The Gazette) reporting on Cuba's municipal elections an...",real,real,2
Russia blocks bid to briefly extend Syria chemical...,real,real,pass,"Supported by credible sources (Reuters, BBC, New York Times) confirming Russia's veto of the UN reso...",real,real,2
SUB-HUMANS: Surveillance VIDEO Captures 4 Black Ma...,fake,fake,fake,The claim uses sensational language ('SUB-HUMANS') and lacks credible evidence or sources to support...,no_debate,no_debate,0
"Two dead, two wounded in shooting incident on Myan...",real,real,pass,"The claim is supported by multiple credible sources, including The Straits Times and Yahoo News, rep...",real,real,2
The New American Century: An Era of Fraud...,fake,fake,fake,The claim lacks credible sources and relies on sensational language ('An Era of Fraud') without subs...,no_debate,no_debate,0
OBAMA REGIME’S SECRET ASIAN TRADE DEAL Would Let I...,fake,fake,fake,The claim lacks credible sources and uses sensational language ('OBAMA REGIME’S SECRET ASIAN TRADE D...,no_debate,no_debate,0
ILLEGAL ALIENS DEMAND NEW BILL OF RIGHTS: To Inclu...,fake,fake,fake,The claim lacks credible sources to support the assertion that 'illegal aliens' are demanding a new ...,no_debate,no_debate,0
BREAKING: #UnfitHillary Told FBI She Couldn’t Reme...,fake,fake,pass,"The claim about Hillary Clinton using 13 mobile devices is supported by multiple credible sources, i...",fake,fake,2
HILARIOUS! Look Who LIBERAL Middlebury Professor I...,fake,fake,pass,"The claim is based on real events involving a Middlebury professor who was injured during a protest,...",fake,fake,2
Exposing the Shakespearean tragedy of the “Russia ...,fake,fake,fake,The claim uses sensational language ('hoax') and lacks credible evidence or support from reputable s...,no_debate,no_debate,0
Guantanamo shrinking but Obama goal of closing pri...,real,real,pass,"Supported by credible sources (Reuters, Politico, Time) discussing Obama's challenges in closing Gua...",real,real,2
" Lesbian Couple Beaten, Arrested For Holding Hands...",fake,real,pass,"Supported by credible sources (The Guardian, BBC) confirming the settlement awarded to a lesbian cou...",real,real,2
Putin dismisses U.S. hacking allegations as campai...,real,real,pass,"Supported by credible sources (RFE/RL, CNBC, Reuters) confirming Putin's dismissal of U.S. hacking a...",real,real,2
Islamic State claims responsibility for attack in ...,real,real,pass,Supported by credible sources (Reuters) confirming the Islamic State's claim of responsibility for a...,real,real,2
"LIFETIME VICTIMS of Injustice, MICHELLE and BARACK...",fake,fake,fake,The claim is sourced from a blog with sensational language ('LIFETIME VICTIMS of Injustice') and lac...,no_debate,no_debate,0
North Korea does not care who is president of Unit...,real,real,pass,"Supported by credible sources (Reuters, Newsweek, Strait Times) confirming North Korea's indifferenc...",real,real,2
REPORTER TO CLINTON: ‘So you still blame others mo...,fake,fake,pass,The claim is supported by a credible source (Free Beacon) reporting on an interview with Hillary Cli...,fake,fake,2
WOW! RUSSIAN LAWYER Who Met With Donald Trump Jr. ...,fake,fake,pass,The claim about Natalia Veselnitskaya meeting Donald Trump Jr. and being seen with a person tied to ...,fake,fake,2
BOILER ROOM – EP #59 – The Loss and Curse of Patri...,fake,fake,fake,The claim lacks credible sources and is associated with sensational language....,no_debate,no_debate,0
WOW! NAVY SEAL BLASTS HILLARY: “You Are An Ignoran...,fake,fake,fake,"The claim lacks credible sources and relies on sensational language ('BLASTS', 'You Are An Ignorant ...",no_debate,no_debate,0
“I’m Not With Crooked Hillary”: VIRAL VIDEO Shows ...,fake,fake,fake,The claim is based on a blog source with no credible evidence or verification from reputable news ou...,no_debate,no_debate,0
